abbrev,measDate,value,measUnit
CLAFTCCO,2020-10-01,42,cfs
CLAFTCCO,2020-10-02,36,cfs
CLAFTCCO,2020-10-03,34,cfs
CLAFTCCO,2020-10-04,32,cfs
CLAFTCCO,2020-10-05,35,cfs
CLAFTCCO,2020-10-06,30,cfs
CLAFTCCO,2020-10-07,30,cfs
CLAFTCCO,2020-10-08,34,cfs
CLAFTCCO,2020-10-09,34,cfs
CLAFTCCO,2020-10-10,27,cfs
CLAFTCCO,2020-10-11,21,cfs
CLAFTCCO,2020-10-12,29,cfs
CLAFTCCO,2020-10-13,26,cfs
CLAFTCCO,2020-10-14,43,cfs
CLAFTCCO,2020-10-15,39,cfs
CLAFTCCO,2020-10-16,44,cfs
CLAFTCCO,2020-10-17,39,cfs
CLAFTCCO,2020-10-18,45,cfs
CLAFTCCO,2020-10-19,46,cfs
CLAFTCCO,2020-10-20,39,cfs
CLAFTCCO,2020-10-21,36,cfs
CLAFTCCO,2020-10-22,46,cfs
CLAFTCCO,2020-10-23,65,cfs
CLAFTCCO,2020-10-24,72,cfs
CLAFTCCO,2020-10-25,60,cfs
CLAFTCCO,2020-10-26,65,cfs
CLAFTCCO,2020-10-27,70,cfs
CLAFTCCO,2020-10-28,69,cfs
CLAFTCCO,2020-10-29,89,cfs
CLAFTCCO,2020-10-30,82,cfs
CLAFTCCO,2020-10-31,74,cfs
CLAFTCCO,2020-11-01,56,cfs
CLAFTCCO,2020-11-02,52,cfs
CLAFTCCO,2020-11-03,44,cfs
CLAFTCCO,2020-11-04,55,cfs
CLAFTCCO,2020-11-05,72,cfs
CLAFTCCO,2020-11-06,86,cfs
CLAFTCCO,2020-11-07,78,cfs
CLAFTCCO,2020-11-08,72,cfs
CLAFTCCO,2020-11-09,65,cfs
CLAFTCCO,2020-11-10,50,cfs
CLAFTCCO,2020-11-11,35,cfs
CLAFTCCO,2020-11-12,30,cfs
CLAFTCCO,2020-11-13,30,cfs
CLAFTCCO,2020-11-14,30,cfs
CLAFTCCO,2020-11-15,40,cfs
CLAFTCCO,2020-11-16,31,cfs
CLAFTCCO,2020-11-17,45,cfs
CLAFTCCO,2020-11-18,51,cfs
CLAFTCCO,2020-11-19,45,cfs
CLAFTCCO,2020-11-20,42,cfs
CLAFTCCO,2020-11-21,38,cfs
CLAFTCCO,2020-11-22,23,cfs
CLAFTCCO,2020-11-23,12,cfs
CLAFTCCO,2020-11-24,60,cfs
CLAFTCCO,2020-11-25,44,cfs
CLAFTCCO,2020-11-26,30,cfs
CLAFTCCO,2020-11-27,39,cfs
CLAFTCCO,2020-11-28,28,cfs
CLAFTCCO,2020-11-29,25,cfs
CLAFTCCO,2020-11-30,34,cfs
CLAFTCCO,2020-12-01,26,cfs
CLAFTCCO,2020-12-02,25,cfs
CLAFTCCO,2020-12-03,25,cfs
CLAFTCCO,2020-12-04,35,cfs
CLAFTCCO,2020-12-05,30,cfs
CLAFTCCO,2020-12-06,35,cfs
CLAFTCCO,2020-12-07,40,cfs
CLAFTCCO,2020-12-08,40,cfs
CLAFTCCO,2020-12-09,45,cfs
CLAFTCCO,2020-12-10,40,cfs
CLAFTCCO,2020-12-11,35,cfs
CLAFTCCO,2020-12-12,30,cfs
CLAFTCCO,2020-12-13,30,cfs
CLAFTCCO,2020-12-14,35,cfs
CLAFTCCO,2020-12-15,40,cfs
CLAFTCCO,2020-12-16,45,cfs
CLAFTCCO,2020-12-17,45,cfs
CLAFTCCO,2020-12-18,50,cfs
CLAFTCCO,2020-12-19,50,cfs
CLAFTCCO,2020-12-20,60,cfs
CLAFTCCO,2020-12-21,65,cfs
CLAFTCCO,2020-12-22,70,cfs
CLAFTCCO,2020-12-23,60,cfs
CLAFTCCO,2020-12-24,65,cfs
CLAFTCCO,2020-12-25,60,cfs
CLAFTCCO,2020-12-26,65,cfs
CLAFTCCO,2020-12-27,60,cfs
CLAFTCCO,2020-12-28,55,cfs
CLAFTCCO,2020-12-29,50,cfs
CLAFTCCO,2020-12-30,45,cfs
CLAFTCCO,2020-12-31,50,cfs
CLAFTCCO,2021-01-01,50,cfs
CLAFTCCO,2021-01-02,50,cfs
CLAFTCCO,2021-01-03,55,cfs
CLAFTCCO,2021-01-04,50,cfs
CLAFTCCO,2021-01-05,55,cfs
CLAFTCCO,2021-01-06,50,cfs
CLAFTCCO,2021-01-07,45,cfs
CLAFTCCO,2021-01-08,45,cfs
CLAFTCCO,2021-01-09,40,cfs
CLAFTCCO,2021-01-10,35,cfs
CLAFTCCO,2021-01-11,40,cfs
CLAFTCCO,2021-01-12,40,cfs
CLAFTCCO,2021-01-13,50,cfs
CLAFTCCO,2021-01-14,45,cfs
CLAFTCCO,2021-01-15,50,cfs
CLAFTCCO,2021-01-16,50,cfs
CLAFTCCO,2021-01-17,50,cfs
CLAFTCCO,2021-01-18,45,cfs
CLAFTCCO,2021-01-19,40,cfs
CLAFTCCO,2021-01-20,55,cfs
CLAFTCCO,2021-01-21,55,cfs
CLAFTCCO,2021-01-22,50,cfs
